Mutation,Crossover,Selection,Iterations,Round,WakeObjective
Inversion Mutation,Uniform Crossover,Roulette Selection,495,0,0.151161997
Inversion Mutation,Uniform Crossover,Rank Selection,624,0,0.113666445
Inversion Mutation,Uniform Crossover,Tournament Selection,146,1,0.433070004
Inversion Mutation,Segment Crossover,Roulette Selection,163,1,0.117399023
Inversion Mutation,Segment Crossover,Rank Selection,230,1,0.100966074
Inversion Mutation,Segment Crossover,Tournament Selection,145,0,0.612238081
Inversion Mutation,One-Point Crossover,Roulette Selection,195,0,0.592471006
Inversion Mutation,One-Point Crossover,Rank Selection,346,0,0.469181527
Inversion Mutation,One-Point Crossover,Tournament Selection,345,1,1.137876973
Inversion Mutation,Two-Point Crossover,Roulette Selection,358,0,0.73854639
Inversion Mutation,Two-Point Crossover,Rank Selection,443,0,0.318828329
Inversion Mutation,Two-Point Crossover,Tournament Selection,569,0,0.582042797
Scramble Mutation,Uniform Crossover,Roulette Selection,719,1,0.09055684
Scramble Mutation,Uniform Crossover,Rank Selection,601,0,0.097423283
Scramble Mutation,Uniform Crossover,Tournament Selection,127,0,0.522829119
Scramble Mutation,Segment Crossover,Roulette Selection,168,1,0.089429389
Scramble Mutation,Segment Crossover,Rank Selection,481,0,0.096651644
Scramble Mutation,Segment Crossover,Tournament Selection,506,1,0.519960992
Scramble Mutation,One-Point Crossover,Roulette Selection,841,0,0.597818187
Scramble Mutation,One-Point Crossover,Rank Selection,604,0,0.503859623
Scramble Mutation,One-Point Crossover,Tournament Selection,581,0,0.766054152
Scramble Mutation,Two-Point Crossover,Roulette Selection,849,0,0.226313347
Scramble Mutation,Two-Point Crossover,Rank Selection,809,0,0.20680225
Scramble Mutation,Two-Point Crossover,Tournament Selection,1166,1,0.328447318
Swap Mutation,Uniform Crossover,Roulette Selection,492,1,0.108838297
Swap Mutation,Uniform Crossover,Rank Selection,516,1,0.130249468
Swap Mutation,Uniform Crossover,Tournament Selection,120,0,0.50952748
Swap Mutation,Segment Crossover,Roulette Selection,161,1,0.167035194
Swap Mutation,Segment Crossover,Rank Selection,190,0,0.115457577
Swap Mutation,Segment Crossover,Tournament Selection,81,0,0.87306204
Swap Mutation,One-Point Crossover,Roulette Selection,170,0,0.69530537
Swap Mutation,One-Point Crossover,Rank Selection,154,0,0.595651714
Swap Mutation,One-Point Crossover,Tournament Selection,139,1,1.710384317
Swap Mutation,Two-Point Crossover,Roulette Selection,145,0,0.798627834
Swap Mutation,Two-Point Crossover,Rank Selection,151,0,0.792021544
Swap Mutation,Two-Point Crossover,Tournament Selection,196,1,1.750945574
Random Mutation,Uniform Crossover,Roulette Selection,854,0,0.072990925
Random Mutation,Uniform Crossover,Rank Selection,610,0,0.087826531
Random Mutation,Uniform Crossover,Tournament Selection,614,0,0.066426405
Random Mutation,Segment Crossover,Roulette Selection,367,0,0.042782084
Random Mutation,Segment Crossover,Rank Selection,314,0,0.061321839
Random Mutation,Segment Crossover,Tournament Selection,654,1,0.052716847
Random Mutation,One-Point Crossover,Roulette Selection,718,0,0.055644356
Random Mutation,One-Point Crossover,Rank Selection,692,1,0.040790666
Random Mutation,One-Point Crossover,Tournament Selection,543,0,0.073962442
Random Mutation,Two-Point Crossover,Roulette Selection,635,0,0.059617053
Random Mutation,Two-Point Crossover,Rank Selection,471,0,0.051585568
Random Mutation,Two-Point Crossover,Tournament Selection,435,0,0.084615669
