xs,ys,xe,ye, seize
4,40,3,40,140
4,40,4,39,140
3,40,2,40,140
3,40,3,41,140
4,39,5,39,140
3,41,2,41,140
2,41,1,41,140
1,41,0,41,140
1,41,1,40,140
1,41,1,42,140
1,42,1,43,140
1,43,0,43,140
1,42,2,42,140
2,40,2,39,140
4,39,3,38,197.9898987
5,39,6,38,197.9898987
6,38,6,37,140
6,37,5,37,140
5,37,5,36,140
5,36,6,36,140
6,36,7,36,140
6,37,7,37,140
3,38,1,33,753.923073
1,33,0,32,197.9898987
0,32,0,31,140
0,31,0,30,140
0,31,1,31,140
1,31,2,31,140
2,31,2,30,140
2,30,3,30,140
3,30,3,29,140
1,43,5,48,896.4373932
5,48,6,48,140
6,48,6,49,140
6,48,7,48,140
6,49,7,49,140
7,48,7,47,140
7,47,8,47,140
8,47,8,46,140
8,46,9,46,140
8,47,8,48,140
8,47,9,47,140
9,47,10,47,140
9,46,9,45,140
9,45,10,45,140
10,45,10,46,140
10,45,11,45,140
11,45,12,41,577.2347876
12,41,13,41,140
