Mutation,Crossover,Selection,Iterations,Round,Result
inversion_mutation,uniform_crossover,roulette_selection,495,0,0.15116199687068543
inversion_mutation,uniform_crossover,roulette_selection,467,1,0.1948833585927159
inversion_mutation,uniform_crossover,rank_selection,624,0,0.11366644489633321
inversion_mutation,uniform_crossover,rank_selection,392,1,0.17458153005575708
inversion_mutation,uniform_crossover,tournament_selection,142,0,0.5932759738331768
inversion_mutation,uniform_crossover,tournament_selection,146,1,0.43307000447392585
inversion_mutation,segment_crossover,roulette_selection,173,0,0.1595557610578241
inversion_mutation,segment_crossover,roulette_selection,163,1,0.11739902300365032
inversion_mutation,segment_crossover,rank_selection,194,0,0.12011082323011424
inversion_mutation,segment_crossover,rank_selection,230,1,0.10096607386277161
inversion_mutation,segment_crossover,tournament_selection,145,0,0.6122380809937013
inversion_mutation,segment_crossover,tournament_selection,416,1,0.6711993766533246
inversion_mutation,one_point_crossover,roulette_selection,195,0,0.5924710057879715
inversion_mutation,one_point_crossover,roulette_selection,438,1,0.9442969199496357
inversion_mutation,one_point_crossover,rank_selection,346,0,0.4691815266814298
inversion_mutation,one_point_crossover,rank_selection,214,1,0.6198202592578453
inversion_mutation,one_point_crossover,tournament_selection,209,0,1.501561103345323
inversion_mutation,one_point_crossover,tournament_selection,345,1,1.1378769734744094
inversion_mutation,two_point_crossover,roulette_selection,358,0,0.7385463897973362
inversion_mutation,two_point_crossover,roulette_selection,192,1,0.8598677448326985
inversion_mutation,two_point_crossover,rank_selection,443,0,0.3188283286003925
inversion_mutation,two_point_crossover,rank_selection,286,1,0.7385484001874673
inversion_mutation,two_point_crossover,tournament_selection,569,0,0.5820427974001301
inversion_mutation,two_point_crossover,tournament_selection,577,1,0.7529697503487891
scramble_mutation,uniform_crossover,roulette_selection,441,0,0.14548024152376077
scramble_mutation,uniform_crossover,roulette_selection,719,1,0.09055683964063707
scramble_mutation,uniform_crossover,rank_selection,601,0,0.09742328337035311
scramble_mutation,uniform_crossover,rank_selection,383,1,0.18558983012186983
scramble_mutation,uniform_crossover,tournament_selection,127,0,0.5228291193467942
scramble_mutation,uniform_crossover,tournament_selection,119,1,0.5915015270547307
scramble_mutation,segment_crossover,roulette_selection,226,0,0.1435728812437813
scramble_mutation,segment_crossover,roulette_selection,168,1,0.0894293893140676
scramble_mutation,segment_crossover,rank_selection,481,0,0.09665164435571398
scramble_mutation,segment_crossover,rank_selection,261,1,0.13064915890066334
scramble_mutation,segment_crossover,tournament_selection,230,0,0.661096254006329
scramble_mutation,segment_crossover,tournament_selection,506,1,0.5199609919477722
scramble_mutation,one_point_crossover,roulette_selection,841,0,0.5978181870785229
scramble_mutation,one_point_crossover,roulette_selection,713,1,0.730205447876061
scramble_mutation,one_point_crossover,rank_selection,604,0,0.5038596228850934
scramble_mutation,one_point_crossover,rank_selection,611,1,0.5364145507333316
scramble_mutation,one_point_crossover,tournament_selection,581,0,0.7660541517442773
scramble_mutation,one_point_crossover,tournament_selection,531,1,1.3654755699060108
scramble_mutation,two_point_crossover,roulette_selection,849,0,0.2263133473561971
scramble_mutation,two_point_crossover,roulette_selection,747,1,0.47002135512540866
scramble_mutation,two_point_crossover,rank_selection,809,0,0.20680224991312848
scramble_mutation,two_point_crossover,rank_selection,556,1,0.40573770183475244
scramble_mutation,two_point_crossover,tournament_selection,637,0,0.35367317975618945
scramble_mutation,two_point_crossover,tournament_selection,1166,1,0.3284473175016984
swap_mutation,uniform_crossover,roulette_selection,668,0,0.1457642189897918
swap_mutation,uniform_crossover,roulette_selection,492,1,0.10883829719646501
swap_mutation,uniform_crossover,rank_selection,361,0,0.18276619931231597
swap_mutation,uniform_crossover,rank_selection,516,1,0.13024946796252246
swap_mutation,uniform_crossover,tournament_selection,120,0,0.5095274796071348
swap_mutation,uniform_crossover,tournament_selection,119,1,0.6491495984231578
swap_mutation,segment_crossover,roulette_selection,173,0,0.37578259032410744
swap_mutation,segment_crossover,roulette_selection,161,1,0.16703519350124799
swap_mutation,segment_crossover,rank_selection,190,0,0.11545757688985916
swap_mutation,segment_crossover,rank_selection,185,1,0.16083835476360292
swap_mutation,segment_crossover,tournament_selection,81,0,0.8730620404866871
swap_mutation,segment_crossover,tournament_selection,73,1,0.9456524082359077
swap_mutation,one_point_crossover,roulette_selection,170,0,0.6953053695293885
swap_mutation,one_point_crossover,roulette_selection,156,1,0.7979397566493328
swap_mutation,one_point_crossover,rank_selection,154,0,0.5956517141831836
swap_mutation,one_point_crossover,rank_selection,168,1,0.8162525660042624
swap_mutation,one_point_crossover,tournament_selection,198,0,1.9912381277020985
swap_mutation,one_point_crossover,tournament_selection,139,1,1.7103843170738084
swap_mutation,two_point_crossover,roulette_selection,145,0,0.7986278337614761
swap_mutation,two_point_crossover,roulette_selection,187,1,1.0550452869103992
swap_mutation,two_point_crossover,rank_selection,151,0,0.7920215438055138
swap_mutation,two_point_crossover,rank_selection,135,1,0.8804899566231569
swap_mutation,two_point_crossover,tournament_selection,124,0,1.883884287816572
swap_mutation,two_point_crossover,tournament_selection,196,1,1.7509455743666809
rand_mutation,uniform_crossover,roulette_selection,854,0,0.07299092518583546
rand_mutation,uniform_crossover,roulette_selection,589,1,0.09210911405228339
rand_mutation,uniform_crossover,rank_selection,610,0,0.08782653140530504
rand_mutation,uniform_crossover,rank_selection,318,1,0.17021321388987715
rand_mutation,uniform_crossover,tournament_selection,614,0,0.06642640532002168
rand_mutation,uniform_crossover,tournament_selection,497,1,0.06664244796206661
rand_mutation,segment_crossover,roulette_selection,367,0,0.04278208404233019
rand_mutation,segment_crossover,roulette_selection,407,1,0.06056266552052853
rand_mutation,segment_crossover,rank_selection,314,0,0.06132183921919054
rand_mutation,segment_crossover,rank_selection,272,1,0.0700454038896531
rand_mutation,segment_crossover,tournament_selection,428,0,0.0857831250584344
rand_mutation,segment_crossover,tournament_selection,654,1,0.05271684698929297
rand_mutation,one_point_crossover,roulette_selection,718,0,0.05564435603096697
rand_mutation,one_point_crossover,roulette_selection,509,1,0.06236415401695567
rand_mutation,one_point_crossover,rank_selection,670,0,0.0562103754692889
rand_mutation,one_point_crossover,rank_selection,692,1,0.04079066601967816
rand_mutation,one_point_crossover,tournament_selection,543,0,0.07396244160104366
rand_mutation,one_point_crossover,tournament_selection,399,1,0.09233598641002837
rand_mutation,two_point_crossover,roulette_selection,635,0,0.05961705279442936
rand_mutation,two_point_crossover,roulette_selection,525,1,0.07154810007887283
rand_mutation,two_point_crossover,rank_selection,471,0,0.051585567583666586
rand_mutation,two_point_crossover,rank_selection,605,1,0.08256473063240868
rand_mutation,two_point_crossover,tournament_selection,435,0,0.0846156692597847
rand_mutation,two_point_crossover,tournament_selection,411,1,0.09955515769105962
